video_id,title,published_at,views,likes,comments,duration,type,url
InwMCgv1Res,Oil Heater vs Traditional Heater! | Ankur Warikoo #shorts,2024-12-31T06:30:10Z,5950,3855,27,PT29S,Short,https://youtube.com/watch?v=InwMCgv1Res
-UpFwY__mUQ,Zindagi bhar FREE iPhone waali SCHEME! | Ankur Warikoo #shorts,2024-12-30T06:30:00Z,189055,16511,110,PT28S,Short,https://youtube.com/watch?v=-UpFwY__mUQ
XMT3-dzP3yM,4 Movies on MONEY - The numbers will SHOCK you! | Ankur Warikoo #shorts,2024-12-29T06:30:14Z,2407817,233691,278,PT32S,Short,https://youtube.com/watch?v=XMT3-dzP3yM
jF3XAIigx_Q,"5-Year PLAN for House, Marriage and Travel! | Money Matters Ep. 42 | Ankur Warikoo Hindi",2024-12-28T14:30:21Z,167200,3366,212,PT39M41S,Video,https://youtube.com/watch?v=jF3XAIigx_Q
hj6To6AZ-4Q,Buy a car - EASILY! Loan vs Lease vs Subscribe! | Ankur Warikoo #shorts,2024-12-28T06:30:27Z,540413,32740,172,PT40S,Short,https://youtube.com/watch?v=hj6To6AZ-4Q
syqLCzY6s6U,3 LIFE LESSONS for a SUCCESSFUL LIFE! | Ankur Warikoo #shorts,2024-12-27T09:42:04Z,97800,9981,31,PT51S,Short,https://youtube.com/watch?v=syqLCzY6s6U
7E2WU6_Kfbc,College jana MANDATORY NAHI RAHEGA! | Ankur Warikoo #shorts,2024-12-27T09:41:11Z,107903,8341,51,PT32S,Short,https://youtube.com/watch?v=7E2WU6_Kfbc
uHfhmnzKGzc,Can my Children be YOUTUBERS? | Ankur Warikoo #shorts,2024-12-27T09:40:29Z,196547,18144,38,PT27S,Short,https://youtube.com/watch?v=uHfhmnzKGzc
G0wuBlFH7L4,Paisa BANAYA jata hai! | Ankur Warikoo #shorts,2024-12-27T09:39:37Z,261631,19729,39,PT25S,Short,https://youtube.com/watch?v=G0wuBlFH7L4
EQCpa3rnf6Q,1KG GOLD se Kitne KG Silver Khareed Sakte Ho? | Ankur Warikoo #shorts,2024-12-27T06:30:09Z,548569,43554,93,PT38S,Short,https://youtube.com/watch?v=EQCpa3rnf6Q
aeuX0zFCvL0,Petrol SCOOTER sahi lag rahi hain ya EV?! | Ankur Warikoo #shorts,2024-12-26T06:30:01Z,404875,21880,245,PT30S,Short,https://youtube.com/watch?v=aeuX0zFCvL0
quVDoF7F-KY,"WAKE-UP CALL Before 2025! | ""Agla Saal Alag Hoga"" NAHI HOGA! | Ankur Warikoo Hindi",2024-12-25T14:30:22Z,292575,15970,837,PT21M5S,Video,https://youtube.com/watch?v=quVDoF7F-KY
a7a0FcYkIiM,Shah Rukh Khan ka BEST ANSWER! | Ankur Warikoo #shorts,2024-12-25T06:30:00Z,1637470,138094,260,PT30S,Short,https://youtube.com/watch?v=a7a0FcYkIiM
TPRx6Qy3mPs,MAHINDRA XEV vs SCORPIO | Ankur Warikoo #shorts,2024-12-24T06:30:10Z,835731,47965,287,PT29S,Short,https://youtube.com/watch?v=TPRx6Qy3mPs
WNUj03dcd7A,India ka GDP Analysis! | Ankur Warikoo #shorts,2024-12-23T06:30:21Z,1769367,132604,1798,PT25S,Short,https://youtube.com/watch?v=WNUj03dcd7A
